央视,#genre#
金鹰纪实-FHD,http://111.48.34.237/PLTV/88888888/224/3221229814/1.m3u8
黑龙江卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229816/1.m3u8
辽宁卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229825/1.m3u8
山东卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229827/1.m3u8
湖北垄上-FHD,http://111.48.34.237/PLTV/88888888/224/3221229833/1.m3u8
河北卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229840/1.m3u8
襄阳综合-FHD,http://111.48.34.237/PLTV/88888888/224/3221229846/1.m3u8
襄阳经济生活-FHD,http://111.48.34.237/PLTV/88888888/224/3221229848/1.m3u8
襄阳公共-FHD,http://111.48.34.237/PLTV/88888888/224/3221229850/1.m3u8
河南卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229870/1.m3u8
快乐垂钓-FHD,http://111.48.34.237/PLTV/88888888/224/3221229871/1.m3u8
茶频道-FHD,http://111.48.34.237/PLTV/88888888/224/3221229873/1.m3u8
咸宁综合-HD,http://111.48.34.237/PLTV/88888888/224/3221229876/1.m3u8
四川卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229901/1.m3u8
经济生活-HD,http://111.48.34.237/PLTV/88888888/224/3221229907/1.m3u8
CETV4-HD,http://111.48.34.237/PLTV/88888888/224/3221229939/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221229968/1.m3u8
湖南卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221229983/1.m3u8
新疆卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230030/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230031/1.m3u8
兵团卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230032/1.m3u8
宁夏卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230036/1.m3u8
山西卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230038/1.m3u8
内蒙古卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230039/1.m3u8
卡酷少儿-FHD,http://111.48.34.237/PLTV/88888888/224/3221230040/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230052/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230056/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230058/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230061/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230063/1
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230065/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230067/1.m3u8
百视通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230069/1.m3u8
CCTV世界地理-FHD,http://111.48.34.237/PLTV/88888888/224/3221230072/1.m3u8
